Aalmutter	Seefisch
Premier	Erste
Presenning	Laken
Preßluftgründung	Herstellung
Preußische Jahrbücher	Berliner
Priester	Vermittler
Primär	Erste
Primiero	Bezirkshauptmannschaft
Princeps	Erste
Prinzenraub	Entführung
Priscillian	Stifter
Proceleusmaticus	Versfuß
Prodigium	Vorzeichen
Proféß	Ordensgelübde
Progymnasium	Vorschule
Prokonsuln	Stellvertreter
Prokrústes	Beiname
Pronuba	Beiname
Propheten	Verkündiger
Prophyláxe	Verhütung
Prorer Wiek	Meerbusen
Protokóll	Feststellung
Protze	Vorderwagen
Prozeßeinrede	Geltendmachung
Prusias	Gründer
Psittacus	Papagei
Psychagogos	Beiname
Psychophysik	Naturlehre
Puelches	Indianerstamm
Pulmo	Lunge
Pulper	Maschine
Punch	Hanswurst
Puri	Indianerstamm
Purulént	Eiter
Putation	Dafürhalten
Putumayo	Nebenfluß
Puy-de-Dôme	Berggruppe
Pyknometer	Glasfläschchen
Pyromanie	Weissagung
Pyrotéchnik	Wärmelehre
Quadratur	Verwandlung
Quäkerpoet	Beiname
Qualifikation	Beilegung
Quan	Münze
Quango	Nebenfluß
Quarkringel	Neuntöter
Quarnero	Meerbusen
Quasiususfruktus	Nießbrauch
Quatrain	Strophe
Quatre-Bras	Meierei
Quechua	Ketschua
Quecksilberpflaster	Quecksilber
Quellsonden	Stäbchen
Quercus	Eiche
Quiberon	Landzunge
Rabbi	Ehrentitel
Rad	Strafe
Räderalbus	Trier
Rákóczy	Mineralquelle
Rakun	Waschbär
Ramlösa	Mineralbad
Rammschiff	Panzerschiff
Rampur	Vasallenstaat
Ran	Morast
Rana	Frosch
Rapidan	Nebenfluß
Rapier	Degen
Rappoltstein	Burgruine
Ratramnus	Benediktinermönch
Räuchern	Methode
Rauchverhütung	Verhinderung
Ravaillac	Mörder
Razinsee	Strandsee
Realsche Presse	Apparat
Recht auf Arbeit	Forderung
Rechtshilfe	Vornahme
Rechtskonsulént	Ratgeber
Rectum	Mastdarm
Redcliffe	Viscount
Redemptoristen	Orden
Redende Künste	Dichtkunst
Redhibition	Rückgabe
Reeder	Eigentümer
Refaktie	Abzug
Refektorium	Speisesaal
Referieren	Bericht
Regenbogen	Lichtbogen
Regens	Aufseher
Regenschnepfe	Wasserläufer
Regenstein	Burgruine
Regenvogel	Regenbrachvogel
Regie	Staatsbetrieb
Mathurin Regnier	Schöpfer
Rehabilitation	Wiedereinsetzung
Reichsadler	Doppeladler
Reichsdruckerei	Reichsanstalt
Reichseisenbahnamt	Reichsbehörde
Reichspostamt	Behörde
Reichsrennfahne	Feldzeichen
Reinbot	Dienstmann
Reitwurm	Maulwurfsgrille
Reï vindicatio	Klage
Rektoskop	Apparat
Reliefkopiermaschine	Apparat
Religionsphilosophie	Erörterung
Rellmaus	Siebenschläfer
Reminiszere	Fastensonntag
Remisier	Vermittler
Remonstrieren	Gegenvorstellung
Remuneration	Belohnung
Renner	Lehrgedicht
Repertoire	Verzeichnis
Repetént	Gehilfe
Reposition	Wiedereinrichtung
Reserveoffiziere	Wehrpflichtige
Resonator	Apparat
Respirationsapparat	Apparat
Restitutio in integrum	Wiedereinsetzung
Reticulum	Netzmagen
Retraite	Signal
Reutwurm	Maulwurfsgrille
Revalierungsklage	Klage
Revestiarium	Ankleideraum
Rhabdomantie	Wahrsagung
Rheineck	Schloß
Rheinfels	Schloß
Rheinischer Städtebund	Bündnis
Rheinkiesel	Bergkristall
Rheinstein	Schloß
Rhombus	Parallelogramm
Rhyolith	Liparit
Riccoboni	Reformator
Riechbein	Siebbein
Riedhuhn	Wasserralle
Riementrieb	Triebwerk
Riesenmöwe	Mantelmöwe
Rietz	Geliebte
Rigaischer Meerbusen	Busen
Rindenlaus	Blutlaus
Ringelmeise	Blaumeise
Ringelspinner	Raupe
Rio Lesseps	Nebenfluß
Rippespeer	Rippenstück
Ritter	Krieger
Rizzio	Vertrauter
Roca	Präsident
Rogate	Sonntag
Rohbau	Bauweise
Rohilkhand	Division
Rohrkarpfen	Aland
Rohrspatz	Feldsperling
Römerbrief	Brief
Rondel	Bastion
Rosmer	Pseudonym
Roßhaar	Schweif
Pellegrino Rossi	Jurist
Roßschweif	Abzeichen
Roßtrappe	Granitfels
Rotammer	Zippammer
Rotbart	Beiname
Rotbläßchen	Teichhuhn
Rotkohle	Holzkohle
Rotspecht	Buntspecht
Rottgans	Ringelgans
Rottier	Rotwild
Rotunde	Rundbau
Rotziemer	Rotdrossel
Round Heads	Spottname
Ruaha	Nebenfluß
Rubeen	Abteilung
Rübezahl	Berggeist
Rubico	Grenzfluß
Rücksteuer	Erstattung
Rückversicherung	Versicherung
Ruda	Goldbergwerk
Rudelsburg	Burgruine
Rudenz	Schlößchen
Rudersport	Rudern
Ruin	Trümmer
Ruminantia	Wiederkäuer
Rumpfparlament	Spottname
Run	Ansturm
Rundmäuler	Unterklasse
Runkelstein	Burgruine
Ruptur	Zerreißung
Rupununi	Weißer
Rurik	Gründer
Russische Reichsbank	Staatsbank
Russischer Knöterich	Vogelknöterich
Ruvu	Quellfluß
Ruwu	Quellfluß
Saalach	Salzburger
Säbel	Hiebwaffe
Sabes	Präsident
Sables d´Olonnes	Seebad
Sachsengängerei	Abwanderung
Sadebaum	Strauch
Sadismus	Marquis
Sajama	Vulkan
Sala	Nebenfluß
Salbuch	Verzeichnis
Salem	Ortsname
Salève	Bergrücken
Saliva	Speichel
Saltation	Tanzen
Saltenfjord	Fjord
Salto	Salto
Salzburg	Kronland
Samaniden	Dynastie
Samaritaner	Bewohner
Samenstränge	Samenleiter
Samûm	Wüstensturm
Sand	Pseudonym
Sandale	Fußbekleidung
Sandhafer	Grasart
Sandhühnchen	Flußregenpfeifer
Sandschlangen	Bewohner
Sangay	Vulkan
Sanitätsamt	Behörde
San Marino	Republik
San Marte	Pseudonym
Sarda	Nebenfluß
Sardschu	Nebenfluß
Saronischer Meerbusen	Meerbusen
Sarraß	Säbel
Sasau	Nebenfluß
Satladsch	Nebenfluß
Saturnischer Vers	Versmaß
Saumtier	Maultier
Säurewecker	Reinzucht
Savannah	Grenzfluß
Saxo	Schreiber
Scapula	Schulterblatt
Scarabaeus	Käfer
Scarpe	Nebenfluß
Scefi	Stifterin
Schacharit	Morgengebet
Schadenersatz	Entschädigung
Schalenkrebse	Unterabteilung
Schanstaaten	Staatengebilde
Scharade	Umschreibung
Scharfrichter	Vollstrecker
Scharlachberger	Rheinwein
Schaschka	Säbel
Schatulle	Kästchen
Scheherezade	Märchenerzählerin
Schenkung	Hingabe
Scherbenkobalt	Arsen
Scheschuppe	Grenzfluß
Scheunenkauz	Steinkauz
Schichtmeister	Rechnungsführer
Schieferung	Absonderung
Schießleinen	Leinen
Schießpulver	Holzkohle
Schießräder	Lafette
Schiff Argo	Sternbild
Schiffsgeschütze	Bewaffnung
Schiffsgläubiger	Gläubiger
Schiffsklassifikation	Feststellung
Schildhahn	Birkhahn
Schilfmeise	Bartmeise
Schillerpreis	Ehrenpreis
Schillerstiftung	Stiftung
Schilluh	Berberstamm
Schimla	Gesundheitsstation
Schinderhannes	Anführer
Schirwa	Binnensee
Schlachtensee	Villenkolonie
Schläger	Rapier
Schlämmen	Operation
Schleimgärung	Umwandlung
Schleuder	Wurfwaffe
Schlierbach	Pseudonym
Schmierkur	Behandlung
Schmirgel	Dotterblume
Schmutzgeier	Aasgeier
Schnabel	Pseudonym
Schnarre	Misteldrossel
Schneckenschnitt	Teilung
Schneekönig	Zaunkönig
Schneekrähe	Alpenkrähe
Schneevogel	Schneeammer
Scholárch	Aufsichtsbehörde
Schongauer	Maler
Schopflerche	Haubenlerche
Schopfmeise	Haubenmeise
Schöppen	Kollegium
Schout	Vorstand
Schreckhorn	Kleines
Schriftgelehrte	Sammler
Schriftgießerei	Herstellung
Schröter	Hirschkäfer
Schrötling	Metallplatte
Schtschedrin	Pseudonym
Schuldschein	Bekenntnis
Schutzpatrone	Schutzheilige
Schwäbisches Meer	Bodensee
Schwängerungsklage	Klage
Schwarz	Franziskanermönch
Schwarzburg	Prinz
Schwarzburgbund	Kartell
Schwarze Blattern	Schwarze
Schwarzer Prinz	Prinz
Schwarzhäher	Tannenhäher
Schwarzkopf	Mönchsgrasmücke
Schwarzort	Kirchdorf
Schwarzplättchen	Mönchsgrasmücke
Schwarzschnepfe	Sichler
Schweidnitzer Gebirge	Berglandschaft
Schweißbläschen	Hautausschlag
Schweizerdegen	Drucker
Schweizerhalle	Solbad
Schweizerpillen	Bitterklee
Schwerhörigkeit	Abschwächung
Schwimmnatter	Ringelnatter
Schwingkölbchen	Hinterflügel
S.C.L.	Student
Scrotum	Hodensack
Sebulon	Ahnherr
Seeamsel	Ringdrossel
Seefahrtsbuch	Ausweis
Seekiefer	Schwarz
Seekrebs	Hummer
Seepolyp	Polyp
Seerabe	Tölpel
Seescharbe	Krähenscharbe
Seespecht	Eisvogel
Seeversicherung	Versicherung
Segelsport	Ausübung
Seiltrieb	Triebwerk
Sekretär	Schriftführer
Sekundieren	Beistand
Sekundiz	Feier
Selbstschuldner	Bürge
Selensilber	Selen
Selletgeschirr	Pferdegeschirr
Semasiologie	Bedeutungslehre
Semendria	Festung
Semien	Alpenlandschaft
Send	Heilige
Senne	Senner
Sense	Zufluß
Separator	Zentrifuge
Septisch	Fäulnis
Serapeum	Tempel
Serinette	Drehorgel
Serubabel	Führer
Serviten	Diener
Servus	Knecht
Seth	Ahnherr
Sette Comuni	Berglandschaft
Sexagesimaleinteilung	Einteilung
Sextus	Gesetzbuch
Siamesen	Bewohner
Sichte	Handgerät
Siegel Salomos	Orden
Sienkiewicz	Pseudonym
Signalement	Beschreibung
Signatär	Unterzeichner
Signet	Handzeichen
Sijahposch	Bewohner
Sikuler	Bewohner
Sindh	Division
Singularsukzession	Rechtsnachfolge
Sinolog	Kenner
Sio	Abfluß
Sîpet	Waffe
Sizilianische Vesper	Volksaufstand
Skagerrak	Meeresarm
Skandal	Anstoß
Skeptizismus	Gewißheit
Sklerometer	Apparat
Skrubber	Apparat
Sloe	Meeresarm
Smith	Stifter
Sobránje	Versammlung
Sokratiker	Schüler
Sole	Auflösung
Solent	Meeresarm
Solis	Holzschneider
Son	Nebenfluß
Sonnenbäder	Bestrahlung
Sonnenstein	Irrenanstalt
Sonnenstrahlung	Zufuhr
Sonntagsbuchstabe	Buchstabe
Sorbet	Limonade
Sorel	Geliebte
Soter	Beiname
Souffleur	Person
Sourdine	Dämpfer
Souvenir	Geschenk
Souverain	Goldmünze
Spala	Jagdschloß
Spaniel	Hunderasse
Spanne	Raupe
Spartacus	Anführer
Speaker	Vorsitzende
Species	Erzählung
Spencergewehr	Repetiergewehr
Speziestaler	Taler
Sphingiden	Schwärmer
Sphinkter	Schließmuskel
Sphinxhaube	Kopfbedeckung
Spiegelente	Krickente
Spiegelhuhn	Birkhuhn
Spielhuhn	Birkhuhn
Spinola	Marchese
Spiräen	Abteilung
Spiritusfabrikation	Herstellung
Spitz	Hunderasse
Louis Spohr	Komponist
Sporn	Orden
Staar	Vogel
Staatsbankrott	Weigerung
Staatsgerichtshof	Gerichtshof
Staatsstreich	Gewaltakt
Stabat mater	Mutter
Stachelhummer	Languste
Stachelschwänze	Pflanzen
Staffelrechnung	Zinsrechnung
Standaert	Beiname
Standard Hill	Hügel
Stanzmaschine	Maschine
Starbuckinsel	Lagune
Statthalter	Stellvertreter
Steiermark	Kronland
Stelze	Bachstelze
Stereometer	Apparat
Sternhai	Glatthai
Sternum	Brustbein
Stethograph	Apparat
Steuervergehen	Vergehen
Stichometrie	Zählen
Stilétt	Dolch
Stollenrösche	Graben
Stoppen	Schiffsmaschine
Störtebeker	Anführer
Stößer	Hühnerhabicht
Stradivari	Schüler
Stramonium	Artname
Strandelster	Austernfischer
Strandpfeifer	Flußregenpfeifer
Straß	Mainzer
Strebepfeiler	Pfeiler
Streikversicherung	Versicherung
Streitaxt	Hiebwaffe
Streitvogel	Kampfläufer
Stricken	Herstellung
Strumpf	Glühkörper
Stuprum	Entehrung
Subversion	Umsturz
Südchinesisches Meer	Randmeer
Sühne	Aussöhnung
Suidas	Verfasser
Sulamith	Mädchen
Sumpfeule	Sumpfohreule
Süntel	Bergrücken
Suspensorium	Binde
Synäresis	Zusammenziehung
Synästhesie	Mitempfindung
Synechie	Verwachsung
Synkópe	Ausstoßung
Tabakskollegium	Abendgesellschaft
Tagale	Berglandschaft
Tagsatzung	Versammlung
Tai-hu	Binnensee
Taktvorzeichnungen	Zahlen
Tale-sap	Binnensee
Talion	Strafe
Talisman	Besitzer
Talje	Flaschenzug
Tallapoosa	Quellfluß
Talmud	Gesetzbuch
Talus	Sprungbein
Tamatave	Handelszentrum
Tambo	Quellfluß
Tampon	Bausch
Tan	Pseudonym
Tandem	Pseudonym
Tangentenbussole	Apparat
Tannhäuser	Ritter
Tara	Quellfluß
Tarasca	Volksstamm
Tarif	Verzeichnis
Tasto solo	Taste
Tatarka	Tschapka
Taten	Völkerschaft
Taubenfalk	Hühnerhabicht
Taubenstößer	Hühnerhabicht
Täufer	Wiedertäufer
Taumesser	Apparat
Taurische Göttin	Beiname
Tausch	Veräußerung
Taylor	Pseudonym
Zachary Taylor	General
Teerbutt	Flunder
Teerjacke	Spitzname
Teichwirtschaft	Benutzung
Teilleistung	Erfüllung
Teleologie	Erklärung
Telephon	Apparat
Tempeln	Hasardspiel
Templeisen	Ritter
Tenampua	Pueblo
Tenasserim	Division
Tenby	Seebad
Tenneberg	Schloß
Tenoríst	Sänger
Tera	Tempel
Terborch	Schöpfer
Tergiversieren	Winkelzüge
Terror	Vulkan
Tertia	Schulklasse
Tesching	Handfeuerwaffe
Testamént	Erklärung
Testamént	Letzter
Testikeln	Hoden
Tetartoëdrie	Auftreten
Thaïs	Geliebte
Thalassotherapie	Behandlung
Thales	Stifter
Thallophyten	Abteilung
Thebaner	Bewohner
Theramenes	Publizist
Therapeutisch	Therapie
Thermotherapie	Behandlung
Thëurgie	Zauberkunst
Theußerbad	Mineralbad
Thlinkiten	Indianerstamm
Thraker	Bewohner
Tiara	Kopfbedeckung
Tierwolf	Luchs
Tikal	Münze
Timpanagossee	Süßwassersee
Tirol	Schloß
Toda	Hirtenvolk
Tonalepaß	Alpenpaß
Tonus	Spannung
Töpferkunst	Herstellung
Töpferware	Tonware
Topographie	Beschreibung
Toppsoffizier	Seeoffizier
Torelli-Torriani	Pseudonym
Torf	Aggregat
Tornado	Windstoß
Torpedowesen	Zusammenfassung
Torsion	Drehung
Tosanlysu	Quellfluß
Toskische Sprache	Mundart
Totenamt	Gottesdienst
Toteneule	Steinkauz
Tötung	Herbeiführung
Trachea	Luftröhre
Trance	Entrückung
Tränenschwamm	Hausschwamm
Transformator	Apparat
Transsudation	Absonderung
Trapez	Viereck
Trappgans	Großtrappe
Trappisten	Orden
Trasteveriner	Bewohner
Trente-et-un	Hasardspiel
Tresa	Abfluß
Triade	Zusammenstellung
Triasformation	Kalkstein
Tribonianus	Vorsitzender
Tribrachys	Versfuß
Trikolore	Nationalflagge
Triole	Tonfigur
Trochanter	Rollhügel
Trochäus	Versfuß
Trödelhandel	Handel
Troglodytes	Gattungsname
Trollhätta	Wasserfall
Tromlitz	Pseudonym
Tromper Wiek	Meerbusen
Trossenschlag	Anfertigung
Trubia	Eisenhütte
Trustee	Bevollmächtigter
Tschambesi	Quellfluß
Tschinównik	Inhaber
Tschuapa	Nebenfluß
Tschuktschen	Völkerschaft
Tuareg	Bewohner
Tunguragua	Vulkan
Tungusen	Volksstamm
Turban	Kopfbedeckung
Turmeule	Schleiereule
Turmkrähe	Dohle
Turpin	Erzbischof
Tuscarora	Kriegsschiff
Tüte	Goldregenpfeifer
Tutor	Professor
Tütvogel	Goldregenpfeifer
Tweed	Grenzfluß
Tzimiskes	Beiname
Überversicherung	Versicherung
Udinen	Volksstamm
Uferspecht	Eisvogel
Uffizien	Palast
Ujesd	Unterabteilung
Ultimus	Letzte
Unam sanctam	Bulle
Union Deutsche Verlagsgesellschaft	Verlagsbuchhandlung
Upstallsbom	Hügel
Uranienborg	Schloß
Urá-tjube	Festung
Ureter	Harnleiter
Urft	Talsperre
Urhuhn	Auerhuhn
Urtlan	Gartenammer
Usa	Lippenbär
Uskoken	Bewohner
Usufruktuar	Nutznießer
Uticénsis	Beiname
Utriusque juris doctor	Doktor
Vaiçya	Handwerker
Valbert	Pseudonym
Vale	Abschied
Vandiemensgolf	Einbuchtung
Varangerfjord	Meerbusen
Variatio delectat	Abwechslung
Variolith	Diabas
Vatatzes	Kaiser
Velebit	Bergrücken
Velhagen & Klasing	Verlagsbuchhandlung
Velodrom	Rennbahn
Vely	Pseudonym
Ventre à terre	Bauch
Verdingung	Abschließung
Vergiftung	Beibringung
Verhau	Strauchwerk
Verjährung	Erwerbung
Verpuppung	Verwandlung
Vertigo	Schwindel
Vertragsbruch	Nichterfüllung
Verwaltungsgerichtsbarkeit	Gerichtsbarkeit
Verzug	Verzögerung
Vesta	Göttin
Vesullian	Schichtenfolge
Vexillum	Fahne
Vicelinus	Apostel
Vieweg	Verlagsbuchhandlung
Vikar	Stellvertreter
Villa Viçosa	Orden
Vingt-et-un	Hasardspiel
Violoncello	Cello
Virginische Nachtigall	Kardinal
Visaya	Volksstamm
Viskosimeter	Apparat
Vivisektion	Vornahme
Vizedeckoffiziere	Reserveoffizier
Vleet	Treibnetz
Voirons	Bergrücken
Volkusen	Seeskorpion
Vorderrhein	Quellfluß
Vorhalt	Verzögerung
Vorparlament	Versammlung
Vorwärmer	Apparat
Vulgivaga	Beiname
Wachsamkeit	Orden
Wachsmalerei	Herstellung
Wadenkrampf	Zusammenziehung
Wadhwan	Vasallenstaat
Wadschagga	Bevölkerung
Waganda	Bewohner
Wagel	Mantelmöwe
Wagenwinde	Maschine
Waghäusel	Zuckerfabrik
Wagogo	Bewohner
Wagram	Fürst
Wahehe	Bewohner
Wahha	Bewohner
Wahnfried	Villa
Wakami	Bewohner
Wakenitz	Abfluß
Wakutu	Bewohner
Wakwere	Bewohner
Walchensee	Alpensee
Waldemmerling	Zaunammer
Waldhäher	Eichelhäher
Waldkater	Rotkopfwürger
Waldkatze	Wildkatze
Waldsänger	Dorngrasmücke
Waldtaube	Ringeltaube
Waldteufel	Zwergohreule
Waldus	Gründer
Walen	Bewohner
Wales	Prinz
Walfischgewehr	Hinterlader
Wali	Vorsteher
Walliser	Bewohner
Walmiki	Verfasser
Walzer	Rundtanz
Wandlungsklage	Klage
Wang	Kirche
Wanjoro	Bewohner
Wappenbrief	Urkunde
Wara	Nashorn
Waragal	Dingo
Warmbad	Militärstation
Warnicken	Oberförsterei
Wartezeit	Trauerjahr
Warundi	Bewohner
Wasagara	Bewohner
Wasambara	Bewohner
Wasaramo	Bewohner
Waschamba	Bewohner
Wäscher	Apparat
Wasegua	Bewohner
Wash	Busen
Wassambi	Bewohner
Wasserdrossel	Wasseramsel
Wasserelster	Austernfischer
Wasserfall	Absturz
Wasserkissen	Kissen
Wasserlerche	Wasserpieper
Wasserpolaken	Flößer
Wasserspecht	Eisvogel
Wasserwanzen	Unterabteilung
Wassukuma	Bewohner
Wate	Vasall
Waterländer	Partei
Watt	Verbesserer
Wat Tyler	Ziegelbrenner
Wavinsa	Bewohner
Wawel	Anhöhe
Weberei	Herstellung
Weberfisch	Gründling
Wechselschluß	Vertrag
Wegmesser	Apparat
Weibertreu	Burgruine
Weichdorn	Kreuzdorn
Weilburg	Schloß
Weinmotte	Traubenwickler
Weinpalme	Palmwein
Weinschwärmer	Schwärmer
Weinstockrüsselkäfer	Rebenstecher
Weisel	Bienenkönigin
Weissagung	Verkündigung
Weißdornspinner	Goldafter
Weißes C	Tagfalter
Weißes Haus	Amtswohnung
Weißes Meer	Busen
Weißhuhn	Moorhuhn
Weißtanne	Edeltanne
Weißwasser	Quellfluß
Welscher Hahn	Truthahn
Wendepflug	Pflug
Werkverdingung	Vertrag
Werth	General
John Wesley	Stifter
Wessel	Vorläufer
Westerplatte	Seebad
Wetterkanone	Apparat
Wheatstonesche Brücke	Apparat
Whipper-in	Einpeitscher
Whiteboys	Geheimbund
White River	Weißer
Wiener Kalk	Schlämmkreide
Wigalois	Ritter
Wigalois	Ritter
Wigwam	Hütte
Wildente	Stockente
Wildkuh	Säbelantilope
Wildstrubel	Alpengipfel
Willebrord	Apostel
Willegis	Erzbischof
Wimperinfusorien	Unterklasse
Wimpina	Gegner
Windharmonika	Harmonika
Winkelschriftstellerei	Anfertigung
Winterling	Grauammer
Wirbelkäfer	Taumelkäfer
Witboi	Häuptling
Wittdün	Seebad
Wittinnen	Flußschiffahrt
Witu	Küstenlandschaft
Witwe	Ehefrau
Wladímir Alexándrowitsch Großfürst von Rußland	Großfürst
Wladímirbai	Busen
Wocheiner See	Alpensee
Wohnungsgeldzuschuß	Zuschuß
Wolchow	Abfluß
Wollspinnerei	Verarbeitung
Wolsey	Erzbischof
Wörterbuch	Enzyklopädie
Wotjáken	Kasan
Woulfesche Flasche	Glasflasche
Wruke	Kohlrübe
Wühlente	Brandgans
Wuoksen	Abfluß
Würderungsklage	Klage
Würm	Abfluß
Württemberg	Prinz
Xenios	Beiname
Xenophanes	Stifter
Yale-Universität	Universität
Yorick	Pseudonym
Brigham Young	Oberhaupt
Yunka	Urbewohner
Zahnrichtung	Regulierung
Zähpolen	Raffinieren
Zähringen	Ruine
Zängen	Operation
Zangenoperation	Entbindung
Zapfenwickler	Rebenstecher
Zapoteken	Indianervolk
Zäsalpiniazeen	Abteilung
Zaunkirsche	Heckenkirsche
Zehn Gebote	Dekalog
Zeidlerei	Bienenzucht
Zelandus	Pseudonym
Zelliten	Beiname
Zentrifugalmaschine	Apparat
Zenturie	Abteilung
Zession	Abtretung
Zeugdruck	Herstellung
Zeugnisverweigerung	Weigerung
Ziffern	Schriftzeichen
Zinkdruck	Druckverfahren
Zinkgießerei	Herstellung
Zinngießerei	Herstellung
Zirkumzellionen	Partei
Zitrullengurke	Wassermelone
Zokor	Blindmaus
Zollkredit	Stundung
Zolltarif	Verzeichnis
Zoolog	Zoologie
Zoolog	Kenner
Zoomagnetismus	Magnetismus
Zug	Unterabteilung
Zuidersee	Meerbusen
Zwangsjacke	Jacke
Zweihufer	Wiederkäuer
Zwergameisenfresser	Ameisenbär
Zwergreicher	Rohrdommel
Zyklische Dichter	Dichter
Zyniker	Spottname
Bergbau	Kupfer
