Aali Pascha	1815
Lorenz Kellner	29. Jan. 1811
Familie Kemble	1. Febr. 1757
Kemény	1607
Zsigmond Kemény	24. Juni 1816
George Kennan	16. Febr. 1845
Gustav Adolf Kenngott	6. Jan. 1818
Kent, William	1684
Johann Kepler	27. Dez. 1571
Emile Kératry	20. März 1832
Bruno Kerl	24. März 1824
Heinrich Kern	6. April 1833
Anton Kerner	12. Nov. 1831
Justinus Kerner	18. Sept. 1786
Joseph Bruno Marin Konstantin, Kervyn de Lettenhove	17. Aug. 1817
Wilhelm Ketteler	25. Dez. 1811
Robert von Keudell	27. Febr. 1824
Ellen Key	11. Nov. 1849
Nicaise de Keyser	26. Aug. 1813
Alexander Keyserling	27. Aug. 1815
Khlesl	Febr. 1553
Karl Khuen-Héderváry	23. Mai 1849
Friedrich Kick	27. Febr. 1840
Alfred von Kiderlen-Wächter	10. Juli 1852
Friedrich Kiel	7. Okt. 1821
Franz Lorenz Kielhorn	31. Mai 1840
Alexander Lange Kielland	18. Febr. 1849
Erich Kielmannsegg	13. Febr. 1847
Wilhelm Kienzl	17. Jan. 1857
Heinrich Kiepert	31. Juli 1818
Sören Kierkegaard	5. Mai 1813
Gustav Kietz	26. März 1826
John Wodehouse Kimberley	7. Jan. 1826
Friedrich Kind	4. März 1768
Alexander William Kinglake	5. Aug. 1809
Charles Kingsley	12. Juni 1819
Kingston	1720
Gottfried Kinkel	11. Aug. 1815
Rudyard Kipling	30. Dez. 1865
Hugo Ewald Kirchbach	23. Mai 1809
Wolfgang Kirchbach	18. Sept. 1857
Athanasius Kircher	2. Mai 1601
Adolf Kirchhoff	6. Jan. 1826
Alfred Kirchhoff	23. Mai 1838
Robert Kirchhoff	12. März 1824
Julius von Kirchmann	5. Nov. 1802
Wilhelm Kirchner	9. Juli 1848
Johann Philipp Kirnberger	24. April 1721
Lula Kirschner	17. Juni 1854
Enoch Heinrich Kisch	6. Mai 1841
Sándor Kisfaludy	27. Sept. 1772
August Kiß	11. Okt. 1800
Kiss	1843
Kitasato	Dez. 1856
Herbert Kitchener	24. Juni 1850
Rudolf Kittel	28. März 1853
Erasmus Kittler	25. Juni 1852
Alexis Kivi	10. Okt. 1834
Frans Reinhold Kjellman	4. Nov. 1846
Theodor Kjerulf	30. März 1825
Kjöprili	1585
Alfred Klaar	7. Nov. 1848
Julian Klaczko	6. Nov. 1828
Klaj	1616
Georg Klapka	7. April 1820
Martin Heinrich Klaproth	1. Dez. 1743
Klarissinnen	1194
Jean Baptiste Kleber	6. März 1753
Edwin Klebs	6. Febr. 1834
Klotilde Kleeberg	27. Juni 1866
Adolf Klein	15. Aug. 1847
Felix Klein	25. April 1849
Hermann Joseph Klein	11. Sept. 1842
Johann Adam Klein	24. Nov. 1792
Klein	1804
Richard Kleinmichel	31. Dez. 1846
Rudolf Kleinpaul	9. März 1845
Friedrich Kleinwächter	25. Febr. 1838
Ewald von Kleist	7. März 1715
Friedrich Heinrich Ferdinand Emil Kleist	9. April 1762
Heinrich von Kleist	18. Okt. 1777
Hans Hugo von Kleist-Retzow	25. Nov. 1814
Heinrich Klemm	19. Sept. 1819
Hermann Klencke	16. Jan. 1813
Julius Klengel	24. Sept. 1859
Leo von Klenze	29. Febr. 1784
Susanne Katharine von Klettenberg	19. Dez. 1723
Theodor Kliefoth	18. Jan. 1810
August Klingemann	31. Aug. 1777
Friedrich Maxim. von Klinger	17. Febr. 1752
Max Klinger	18. Febr. 1857
Karl Friedrich von Klöden	21. Mai 1786
Onno Klopp	9. Okt. 1822
Friedrich Gottlieb Klopstock	2. Juli 1724
Christian Adolf Klotz	13. Nov. 1738
Friedrich Kluge	22. Juni 1856
August Klughardt	30. Nov. 1847
Karl Benjamin Klunzinger	18. Nov. 1834
Ferdinand Knab	12. Juni 1837
Joseph Knabl	17. Juli 1819
Hermann Knackfuß	11. Aug. 1848
Albert Knapp	25. Juli 1798
Ludwig Friedrich Knapp	22. Febr. 1814
Ludwig Knaus	5. Okt. 1829
Karl Ludwig von Knebel	30. Nov. 1744
Sebastian Kneipp	17. Mai 1821
Rudolf Kneisel	8. Mai 1832
Gottfried Kneller	8. Aug. 1646
Karl Friedrich Knesebeck	5. Mai 1768
Karl Knies	29. März 1821
Adolf Knigge	16. Okt. 1752
Otto Knille	10. Sept. 1832
Georg Wenzeslaus von Knobelsdorff	17. Febr. 1699
Nataly von Knobelsdorff-Brenkenhoff	17. Mai 1860
Konrad Knoll	9. Sept. 1829
Eduard von Knorr	8. März 1840
Karl Knortz	28. Aug. 1841
Knox	1505
Ferdinand Kobell	7. Juni 1740
Franz Kobell	19. Juli 1803
Karl August Koberstein	10. Jan. 1797
Georg Koch	27. Febr. 1857
Joseph Koch	27. Juli 1768
Karl Friedrich Koch	15. Nov. 1813
Max Koch	12. Dez. 1855
Richard Koch	15. Sept. 1834
Robert Koch	11. Dez. 1843
Kochanowski	1530
Hermann Köchly	5. Aug. 1815
Paul de Kock	21. Mai 1794
Gentaro Kodama	15. Febr. 1852
Johann Hermann Koekkoek	27. Aug. 1778
Rudolf Kögel	18. Febr. 1829
Koháry	2. Juli 1797
Horst Kohl	19. Mai 1855
Johann Georg Kohl	28. April 1808
Joseph Kohler	9. März 1849
Reinhold Köhler	24. Juni 1830
Ulrich Köhler	6. Nov. 1838
Friedrich Kohlrausch	15. Nov. 1780
Rudolf Hermann Arndt Kohlrausch	6. Nov. 1809
Joseph Kohlschein	21. Sept. 1841
Salomon Kohn	8. März 1825
Theodor Kohn	22. März 1845
Adolf Kohut	10. Nov. 1848
Georg Friedrich Kolb	14. Sept. 1808
Hermann Kolbe	27. Sept. 1818
Eugen Kölbing	21. Sept. 1846
Theodor Kolde	6. Mai 1850
Karl Koldewey	26. Okt. 1837
Kolettis	1788
Jan Kollár	29. Juli 1793
George von Köller	17. Febr. 1823
Alb. von Kölliker	6. Juli 1817
Julius Kollmann	24. Febr. 1834
Theodor Kolokotrónis	15. April 1770
Joseph Gottlieb Koelreuter	27. April 1733
Kolumbus	1446
Alexej Wassiljewitsch Kolzow	26. Okt. 1808
Leopold Kompert	15. Mai 1822
Komura	1854
Adolf von Koenen	21. März 1837
Max Koner	17. Juli 1854
Wilhelm Koner	6. Juli 1817
Paul Konewka	5. April 1840
Ewald August König	22. Aug 1833
Franz Koenig	16. Febr. 1832
Friedrich König	17. April 1774
Heinrich Joseph Koenig	19. März 1790
Hans Christoph Königsmark	4. März 1600
Koninck	1609
Julius Traug. Jakob von Könneritz	31. Mai 1792
Konopnicka	1846
Kronrad III.	1094
Konrad IV.	1228
Konradin	25. März 1252
Konstantin Kronprinz von Griechenland	2. Aug. 1868
Konstantin Páwlowitsch Großfürst von Rußland	8. Mai 1779
Konstantin Nikolájewitsch Großfürst von Rußland	21. Sept. 1827
Nikolas Kopernikus	19. Febr. 1473
Joseph von Bildhauer Kopf	10. März 1827
August Kopisch	26. Mai 1799
Bartholomäus Kopítar	23. Aug. 1780
Georg Kopp	25. Juli 1837
Joseph Eutychius Kopp	25. April 1793
Franz Koppel	7. Dez. 1838
Peter von Köppen	19. Febr. 1793
Adamantios Korais	27. April 1748
Ernst von Koerber	6. Nov. 1850
Karl Koristka	7. Febr. 1825
Christian Gottfried Körner	2. Juli 1756
Emil Körner	10. Okt. 1847
Karl Theodor Körner	23. Sept. 1791
Wladimir Galaktionowitsch Korolénko	27. Juli 1853
Wilhelm Körte	24. März 1776
Gustav Körting	25. Juni 1845
Karl Arnold Kortum	5. Juli 1745
Felix Korum	2. Nov. 1840
Tadeusz Kosciuszko	12. Febr. 1746
Ludwig Theobul Kosegarten	1. Febr. 1758
Reinhold Koser	7. Febr. 1852
Adalbert von Kossak	31. Dez. 1857
Ernst Kossak	4. Aug. 1814
Ludwig Kossuth	16. Sept. 1802
Albert Köster	7. Nov. 1862
Hans Ludwig Raimund von Koster	29. April 1844
Christian Reinhold Köstlin	29. Jan. 1813
Julius Köstlin	17. Mai 1826
Karl von Köstlin	28. Sept. 1819
Nikolaj Iwanowitsch Kostomárow	16. Mai 1817
Iwan Petrowitsch Kotljaréwskij	29. Aug. 1796
August von Kotzebue	3. Mai 1761
Kowaléwskij	15. Jan 1850
Alfred von Kowalski-Wierusz	11. Nov. 1849
Guido Krafft	15. Dez. 1844
Peter Krafft	15. Sept. 1780
Richard Krafft-Ebing	14. Aug. 1840
Thomas Peter Krag	28. Juli 1868
Kramarz	27. Dez. 1860
Emil Kraepelin	15. Febr. 1856
Johann Ludwig Krapf	11. Jan. 1810
Peter Alexejewitsc Krapótkin	9. Dez. 1842
Ignacy Krasicki	3. Febr. 1735
Zygmunt Krasinski	19. Febr. 1812
Jósef Ignacy Kraszewski	28. Juli 1812
Staatssekretär Kraetke	11. Okt. 1845
Felix von Kraus	3. Okt. 1870
Franz Xaver Kraus	18. Sept. 1840
Ernst Krause	22. Nov. 1839
Gottlob Adolf Krause	5. Jan. 1850
Karl Christian Friedrich Krause	6. Mai 1781
Wilhelm Krause	27. Febr. 1803
Wilhelm Krauskopf	30. Juni 1847
Kray	1830
Aloys Wiguläus Kreittmayr	14. Dez. 1705
August von Kreling	23. Mai 1819
Philipp Krementz	1. Dez. 1819
Alfr. Kremer	13. Mai 1828
Mite Kremnitz	2. Jan. 1854
Krestowskij	1825
Edmund Kretschmer	31. Aug. 1830
Max Kretzer	7. Juni 1854
Hermann Kretzschmar	19. Jan. 1848
Hermann Kretzschmer	28. Okt. 1811
Konradin Kreutzer	22. Nov. 1780
Rudolph Kreutzer	16. Nov. 1766
Edmund Krieghammer	4. Juni 1832
Johannes von Kries	6. Okt. 1853
Jordan von Kröcher	23. April 1846
Timm Kröger	29. Nov. 1844
Julius Krohn	19. Mai 1835
Leopold Kronecker	7. Dez. 1823
Adolf von Kröner	26. Mai 1836
Christian Kröner	3. Febr. 1838
Franz Krones	19. Nov. 1835
Therese Krones	7. Okt. 1801
Rudolf Ulrich Krönlein	19. Febr. 1847
Hermann Kropatschek	11. Febr. 1847
Severin Kröyer	23. Juli 1851
Juliane Krüdener	22. Nov. 1764
Arnold Krug	16. Okt. 1849
Franz Krüger	3. Sept. 1797
Karl Wilhelm Krüger	28. Sept. 1796
Paul Krüger	20. März 1840
Paulus Krüger	10. Okt. 1825
Otto Ludwig Krug von Nidda	16. Dez. 1810
Karl Krumbacher	23. Sept. 1856
Krummacher	1767
Otto Krümmel	8. Juli 1854
Alfred Krupp	26. April 1812
Heinrich Kruse	15. Dez. 1815
Adam Johann von Krusenstern	19. Nov. 1770
Iwan Andrejewitsch Krylow	13. Febr. 1768
Kublai	1215
Friedrich Küchenmeister	22. Jan. 1821
Friedrich Kücken	16. Nov. 1810
Gandolf Küenburg	12. Mai 1841
Gerhard von Kügelgen	6. Febr. 1772
Franz Kugler	19. Jan. 1808
Emil Kuh	13. Dez. 1828
Gotthard Kühl	28. Nov. 1850
Friedrich Kuhlau	13. März 1786
Adalbert Kuhn	19. Nov. 1812
Franz Kuhn	15. Juli 1817
Julius Kühn	23. Okt. 1825
Johann Kuhnau	6. April 1667
Gustav Kühne	27. Dez. 1806
Rafael Kühner	22. März 1802
Wilhelm Kuhnert	28. Sept. 1865
Pantelejmon Alexandrowitsch Kulisch	27. Juli 1819
Theodor Kullak	12. Sept. 1818
Ferdinand von Kummer	11. April 1816
Robert Kummer	30. Mai 1810
Kumunduros	1814
Richard Kund	19. Juni 1852
Karl Kundmann	15. Juli 1838
Kundts Staubfiguren	1838
Kunkel	1630
Karl Sigism. Kunth	18. Juni 1788
Karl Kuntz	28. Juli 1770
Hermann Kunz	12. März 1847
Max Kunze	10. Febr. 1838
Kupelwieser	14. Sept. 1830
Kupetzky	1667
Ignaz Kuranda	1. Mai 1812
Ferdinand Kürnberger	3. Juli 1821
Kuroki	1845
Alexej Nikolajewitsch Kuropatkin	29. März 1848
Joseph Kürschner	20. Sept. 1853
Johann Heinrich Kurtz	13. Dez. 1809
Heinrich Kurz	28. April 1805
Hermann Kurz	30. Nov. 1813
Kurz	1715
Eduard Kurzbauer	2. März 1840
Adolf Kußmaul	22. Febr. 1822
Ernst Küster	2. Nov. 1839
Karl Theodor von Küstner	26. Nov. 1784
Kutschkelied	1844
Johann Kutschker	11. April 1810
Michail Ilarionowitsch Golenischtschew-Kutúsow	16. Sept. 1745
Friedrich Traugott Kützing	8. Dez. 1807
Kuyper	29. Okt. 1837
Kwang-sü Kaiser von China	2. Aug. 1872
Friedrich Wilhelm Kyau	6. Mai 1654
Ernst Laas	16. Juni 1837
Jean de Labadie	13. Febr. 1610
Paul Laband	24. Mai 1838
Eugène Labiche	5. Mai 1815
Jacques Julien Ho Labillardière	28. Okt. 1755
Joseph Labitzky	4. Juli 1802
Luigi Lablache	6. Dez. 1794
Laborde	1724
Labouchère	1831
Edouard René Lefebvre de Laboulaye	18. Jan. 1811
Gérard Labrunie	21. Mai 1808
Jean de La Bruyère	16. Aug. 1645
Nicolas Louis de Lacaille	15. März 1713
Henri de Lacaze-Duthiers	15. Mai 1821
Bernard Germain Etienne d Lacépède	26. Dez. 1756
François de Lachaise	25. Aug. 1624
La Chaussée	1692
Adrien Lachenal	19. Mai 1849
Karl Lachmann	4. März 1793
Franz Lachner	2. April 1803
Henri Dominique Lacordaire	12. Mai 1802
Poul La Cour	13. April 1846
Paul Lacroix	27. Febr. 1806
Franz Moritz Lacy	16. Okt. 1725
Philipp von Ladenberg	15. Aug. 1769
Albert Ladenburg	2. Juli 1842
René Paul de Ladmirault	17. Febr. 1808
Laeisz	1. Jan. 1801
René Théophile Hyacinthe Laënnec	17. Febr. 1781
Jan Jakob de Laet	13. Dez. 1815
Giuseppe La Farina	20. Juli 1815
Lafayette	6. Sept. 1757
Lafayette	1634
Jacques Lafitte	24. Okt. 1767
August Heinrich Julius Lafontaine	5. Okt. 1758
Jean de Lafontaine	8. Juli 1621
La Fosse	1636
Lafrensen	1737
Modesto Lafuénte	1. Mai 1806
Lagae	1862
Paul Antoine de Lagarde	2. Nov. 1827
Selma Lagerlöf	20. Nov. 1858
Joseph Louis Lagrange	25. Jan. 1736
Frédéric César Laharpe	6. April 1754
Jean François de Laharpe	20. Nov. 1739
Heinrich Lahmann	30. März 1860
Lairesse	1641
Ludwig Laistner	3. Nov. 1845
Joseph Jérôme Lefrançais de Lalande	11. Juli 1732
L'Allemand	8. Aug. 1840
Lally-Tolendal	Jan. 1702
Edouard Lalo	27. Jan. 1823
Jean Baptiste Antoine Pierre Monet de Lamarck	1. Aug. 1744
Alfonso La Marmora	17. Nov. 1804
Alphonse Marie Louis Prat d Lamartine	21. Okt. 1790
Charles Lamb	10. Febr. 1775
Lamballe	8. Sept. 1749
Jules Lambeaux	13. Jan. 1852
Juliette Lamber	4. Okt. 1836
Johann Heinrich Lambert	26. Aug. 1728
Spyridion Lambros	21. April 1851
Luigi Lambruschini	16. Mai 1776
Hugues Félicité Robert de Lamennais	19. Juni 1782
Julien Offray de Lamettrie	25. Dez. 1709
August Lamey	27. Juli 1816
Hugo Lämmer	25. Jan. 1835
August Lammers	23. Aug. 1831
Christophe de Lamoricière	5. Febr. 1806
Wilhelm Lamormain	29. Dez. 1570
Jeanne de Luz Lamothe	22. Juli 1756
Antoine Houdart de Lamotte	17. Jan. 1672
Charles Lamoureux	28. Sept. 1834
Karl Lamprecht	25. Febr. 1856
Lamsdorff	1845
Lancaster	25. Nov. 1778
Hans Land	25. Aug. 1861
Markus Landau	21. Nov. 1873
Carlo Landberg	24. März 1848
Richard Lander	8. Febr. 1804
Heinrich Landesmann	9. Aug. 1821
Robert von Landmann	12. Jan. 1845
Hermann Landois	19. April 1835
Hans Landolt	5. Dez. 1831
Landor	1865
Sir Edwin Landseer	7. März 1802
Edward William Lane	17. Sept. 1801
Jean Marie Antoine de Lanessan	13. Juli 1843
Lanfranco	1580
Pierre Lanfrey	26. Okt. 1828
Andrew Lang	31. März 1844
Karl Heinrich Lang	7. Juli 1764
August Friedrich Ernst Langbein	6. Sept. 1757
Friedrich Albert Lange	28. Sept. 1828
Helene Lange	9. April 1848
Johann Peter Lange	10. April 1802
Ludwig Lange	4. März 1825
Lange	21. Dez. 1813
Lange	1711
Joseph Langen	3. Juni 1837
Konrad Johann Martin Langenbeck	5. Dez. 1776
Gustav Langenscheidt	21. Okt. 1832
Theodor Langer	17. Dez. 1819
Andrault Langeron	13. Jan. 1763
Christian Eduard Langethal	6. Jan. 1806
Karl Gotthard Langhans	23. Sept. 1733
Maryan Langiewicz	5. Aug. 1827
Philipp Langmann	5. Febr. 1862
Languet	1518
Heinrich Langwerth von Simmern	15. Nov. 1833
Jean Denis Lanjuinais	12. März 1753
Joseph Lanner	11. April 1801
Jean Lannes	11. April 1769
William Petty Lansdowne	2. Mai 1737
Emanuel Lansyer	18. Febr. 1835
Carlo Lanza	21. Mai 1837
Lanza	1815
Pierre Simon Laplace	28. März 1749
Johann Martin Lappenberg	30. Juli 1794
Victor de Laprade	13. Jan. 1812
Largillière	1656
Maria Sophie La Roche	6. Dez. 1731
Larochefoucauld	15. Dez. 1613
Henri Du Larochejacquelein	30. Aug. 1772
Pierre Larousse	23. Okt. 1817
Dominique Jean Larrey	8. Juli 1766
Adolf L'Arronge	8. März 1838
Larroumet	1852
Karl Larsson	28. Mai 1853
Arnold von Lasaulx	14. Juni 1839
Ernst von Lasaulx	16. März 1805
Las Casas	1474
Las Cases	1766
Lascelles	1841
Karl Lasch	1. Juli 1819
Laskaris	1434
Eduard Lasker	14. Okt. 1829
Emanuel Lasker	25. Dez. 1868
Laski	1499
Hugo Laspeyres	3. Juli 1836
Ferdinand Lassalle	11. April 1825
Oskar Lassar	11. Jan. 1849
Joseph Laßberg	10. April 1770
Christian Lassen	22. Okt. 1800
Eduard Lassen	13. April 1830
Lasso	1520
Adolf Lasson	12. März 1832
Kurd Laßwitz	20. April 1848
Louise Lateau	30. Jan. 1850
Latour	1737
Latour d'Auvergne	23. Nov. 1743
Louis de La Trémouille	20. Sept. 1460
Lätus	1425
Gustav Karl Laube	9. Jan. 1839
Heinrich Laube	18. Sept. 1806
William Laud	7. Okt. 1573
John Lauderdale	24. Mai 1616
Gideon Ernst Laudon	2. Febr. 1717
Gustav von Lauer	10. Okt. 1807
Joseph Lauff	16. Nov. 1855
Johann Wilhelm Lauremberg	26. Febr. 1590
Jean Paul Laurens	29. März 1838
Sir Wilfrid Laurier	20. Nov. 1841
Alexander Jacques Bernard Law Lauriston	1. Febr. 1768
Johann Christoph Lauterbach	24. Juli 1832
Lavalette	1769
Lavallière	6. Aug. 1644
Johann Kaspar Lavater	15. Nov. 1741
Emile de Laveleye	5. April 1822
Georg Ludwig Friedrich Laves	17. Dez. 1789
Charles Martial Allema Lavigerie	31. Okt. 1825
Ernest Lavisse	17. Dez. 1842
Antoine Laurent Lavoisier	16. Aug. 1743
John L. of Lauriston Law	16. April 1671
John Laird Mair Lord Lawrence	4. März 1811
Sir Thomas Lawrence	4. Mai 1769
Sir Austen Henry Layard	5. März 1817
Laynez	1512
Moritz Lazarus	15. Sept. 1824
Benjamin Williams Leader	12. März 1831
William Martin Leake	14. Jan. 1777
Nicolas Lebel	18. Aug. 1835
Edmond Leboeuf	6. Dez. 1809
André Lebon	26. Aug. 1859
Charles Lebrun	24. Febr. 1619
Charles François Lebrun	19. März 1739
Elisabeth Louise Lebrun	16. April 1755
Ponce Denis Ecouchard Lebrun	11. Aug. 1729
Gotthard Viktor Lechler	18. April 1811
William Edward Hartpole Lecky	26. März 1838
Charles Vict Leclerc d'Ostin	17. März 1772
Michel Théodore Leclercq	1. April 1777
Charles de Lecluse	18. Febr. 1525
Charles Lecocq	3. Juni 1832
Jules Jean A Lecomte du Nouy	10. Juni 1842
Charles Mar Leconte de Lisle	23. Okt. 1818
Adrienne Lecouvreur	5. April 1692
Karl Friedrich von Ledebour	8. Juli 1785
Mieczislaw Ledochowski	29. Okt. 1822
Alexandre Auguste Ledru-Rollin	2. Febr. 1808
Robert Edmund Lee	19. Jan. 1807
Sidney Lee	5. Dez. 1859
Lee	1750
John Leech	29. Aug. 1817
Leeds	1631
Antonius van Leeuwenhoek	24. Okt. 1632
Lefèbre	1615
François Joseph Lefebvre	25. Okt. 1755
Jules Lefebvre	10. März 1832
André Lefèvre	9. Nov. 1834
Anne Charlotte Leffler	16. Okt. 1849
Adolphe Charles Emanuel Leflô	2. Nov. 1804
Lefort	1653
Adrien Marie Legendre	18. Sept. 1752
James Legge	20. Dez. 1815
Ernest Wilfrid Legouvé	15. Febr. 1807
Alphonse Legros	8. Mai 1837
Legros	1656
Lilli Lehmann	24. Nov. 1848
Max Lehmann	19. Mai 1845
Otto Lehmann	13. Jan. 1855
Peter Martin Orla Lehmann	19. Mai 1810
Heinrich Lehndorff	1. April 1829
Julius Lehr	18. Okt. 1845
Paul Ernest Lehr	13. Mai 1835
Wilhelm Leibl	23. Okt. 1844
Gottfried Wilhelm Leibniz	1. Juli 1646
Leicester	1532
Ludwig Leichhardt	23. Okt. 1813
Johann Gottlob Leidenfrost	14. Nov. 1715
Frederick Leighton	3. Dez. 1830
Leins	1814
Johann Anton Leisewitz	9. Mai 1752
Burkard Wilhelm Leist	12. Juli 1819
Walter Leistikow	25. Okt. 1865
Gottlieb Wilhelm Leitner	14. Okt. 1840
Otto von Leixner-Grünberg	24. April 1847
Lejean	1828
Henri Louis Lekain	14. April 1728
Charles Godfroy Leland	15. Aug. 1824
Ignacy Leléwel	22. März 1786
Lely	1618
Jules Lemaître	27. Febr. 1853
Karl Lemcke	26. Aug. 1831
Ludwig Lemme	8. Aug. 1847
Camille Lemonnier	24. März 1835
Philipp von Lenard	7. Juni 1862
Teofil Lenartówicz	27. Febr. 1822
Anne Lenclos	15. Mai 1616
Robert J. Lendelmayr Lendenfeld	10. Febr. 1858
Otto Lenel	13. Dez. 1849
Hermann Lenhartz	20. Dez. 1854
Peter Joseph Lenné	29. Sept. 1789
Jakob van Lennep	24. März 1802
Marie Anne Lenormand	27. Mai 1772
Charles Lenormant	1. Juni 1802
Lenôtre	1613
Jakob Michael Reinhold Lenz	12. Jan. 1751
Max Lenz	13. Juni 1850
Oskar Lenz	13. April 1848
Heinrich Leo	19. März 1799
Leo	1694
Ruggiero Leoncavallo	8. März 1858
Rudolf Leonhard	26. Dez. 1851
Adolf Leonhardt	6. Juni 1815
Giacomo Leopardi	29. Juni 1798
Leopold I.	9. Juni 1640
Leopold II.	5. Mai 1747
Leopold I.	3. Juli 1676
Karl Friedrich Leopold	29. Aug. 1790
Leopold Prinz von Bayern	9. Febr. 1846
Leopold I.	16. Dez. 1790
Leopold II.	9. April 1835
Leopold Fürst von Lippe	30. Mai 1872
Leopold	29. Sept. 1073
Leopold I.	3. Okt. 1797
Karl Gustaf af Leopold	23. Nov. 1756
Richard Lepsius	23. Dez. 1810
Vinzent Stoltenberg-Lerche	5. Sept. 1837
Hugo Lerchenfeld	13. Okt. 1843
Sebastian Lerdo de Tejada	25. April 1827
Michail Jurjewitsch Lérmontow	14. Okt. 1814
Leroux	27. Dez. 1829
Le Roy	1600
Anatole Leroy-Beaulieu	12. Febr. 1842
Alain René Lesage	8. Mai 1668
August Leskien	8. Juli 1840
Charles Leslie	19. Okt. 1794
Julie de L'Espinasse	19. Nov. 1732
Ferdinand Lesseps	19. Nov. 1805
Julius Lessing	20. Sept. 1843
Karl Friedrich Lessing	15. Febr. 1808
Johann Hermann L'Estocq	29. April 1692
Eustache Lesueur	19. Nov. 1617
Leszczynski	23. Juni 1703
Wilhelm Adolf Lette	10. Mai 1799
August Leu	24. März 1819
Wilhelm von Leube	14. Sept. 1842
Leuchsenring	1746
Eugen Leuchtenberg	3. Sept. 1781
Rudolf Leuckart	7. Okt. 1822
Johannes Leunis	2. Juni 1802
Heinrich Leuthold	9. Aug. 1827
Theodor von Leutwein	9. Mai 1849
Emanuel Leutze	24. Mai 1816
Levaillant	1753
Emile Levasseur	8. Dez. 1828
Jules Gabriel Levasseur	26. Nov. 1823
Urbain Jean Joseph Leverrier	11. März 1811
Oskar Levertin	17. Juli 1862
Albert von Levetzow	12. Sept. 1827
Levetzow	4. Febr. 1804
Ilse Levien	3. Febr. 1852
Lévy	1821
Jules Lewal	13. Dez. 1823
August Lewald	14. Okt. 1792
Fanny Lewald	24. März 1811
Adam Ludwig Lewenhaupt	15. April 1659
George Henry Lewes	18. April 1817
Georg Lewin	25. April 1820
Joseph Lewinsky	20. Sept. 1835
Matthias Lexer	18. Okt. 1830
Wilhelm Lexis	17. Juli 1837
Ernst von Leyden	20. April 1832
Willem Johannes Leyds	1. Mai 1859
Georges Leygues	28. Okt. 1856
Hendrik Leys	18. Febr. 1815
Léon Lhermitte	31. Juli 1844
L'Hôpital	1504
Lichnowsky	5. April 1814
Hugo Licht	21. Febr. 1841
Lichtenau	1752
Georg Christoph Lichtenberg	1. Juli 1742
Friedrich Lichtenberger	21. März 1832
Alfr. Lichtwark	14. Nov. 1852
Magnus Gottfried Lichtwer	30. Jan. 1719
Jonas Lie	6. Nov. 1833
Sophus Lie	17. Dez. 1842
Karl Theodor Liebe	11. Febr. 1828
Ernst Lieber	16. Nov. 1838
Franz Lieber	18. März 1800
Lieberkühnsche Drüsen	1711
Karl Liebermann	23. Febr. 1842
Max Liebermann	29. Juli 1849
Max Liebermann von Sonnenberg	21. Aug. 1848
Karl Liebermeister	2. Febr. 1833
Eduard von Liebert	16. April 1850
Johann Liebieg	7. Juni 1802
Justus Liebig	12. Mai 1803
Wilhelm Liebknecht	29. März 1826
Otto Liebmann	25. Febr. 1840
Felix Liebrecht	13. März 1812
Richard Liebreich	30. Juni 1830
Alfred Liechtenstein	11. Juni 1842
Fritz Lienhard	4. Okt. 1865
Adolf Lier	21. Mai 1826
Dorothea Lieven	30. Dez. 1784
Jan Lievens	24. Okt. 1607
Alexander von Liezen-Mayer	24. Jan. 1839
Ligne	23. Mai 1735
Viktor von Lignitz	21. März 1841
Alfons Maria von Liguori	27. Sept. 1696
Li-hung-tschang	14. Febr. 1821
Detlev Liliencron	3. Juni 1844
Rochus Liliencron	8. Dez. 1820
Petrus Abraham Samue Limburg-Brouwer	15. Nov. 1829
Friedrich Wilhelm Limburg-Stirum	6. Aug. 1835
Abraham Lincoln	12. Febr. 1809
Jenny Lind	6. Okt. 1820
Paul Lindau	3. Juni 1839
Anton van der Linde	14. Nov. 1833
Karl Linde	11. Juni 1842
Karl August Lindemann-Frommel	19. Aug. 1819
Bernhard von Lindenau	11. Juni 1779
Paul Lindenberg	11. Nov. 1859
Wilhelm Lindenschmit	12. März 1806
Friedrich von Lindequist	15. Sept. 1862
John Lindley	5. Febr. 1799
Albert Lindner	24. April 1831
Theodor Lindner	29. Mai 1843
Peter Joseph von Lindpaintner	8. Dez. 1791
Nikolaj Petrowitsch Linéwitsch	24. Dez. 1838
Per Henrik Ling	15. Nov. 1776
Hermann Lingg	22. Jan. 1820
Karl von Linné	23. Mai 1707
Eliza Linton	10. Febr. 1822
Justus Karl Lion	13. März 1829
Karl Lipinski	4. Nov. 1790
Leopold Lippe	19. März 1815
Arminius Lippe-Biesterfeld-Weißenfeld	15. Okt. 1825
Franz Lipperheide	22. Juli 1838
Julius Lippert	12. April 1839
Philipp Daniel Lippert	29. Sept. 1702
Theodor Lipps	28. Juli 1851
Johann Heinrich Lips	29. April 1758
Justus Lipsius	18. Okt. 1547
Richard Adelbert Lipsius	14. Febr. 1830
Georg Christian Friedrich Lisch	29. März 1801
Friedrich Gustav Lisco	12. Febr. 1791
Christian Ludwig Liscow	29. April 1701
Friedrich List	6. Aug. 1789
Sir Joseph Lister	5. April 1827
Franz Liszt	22. Okt. 1811
Franz von Liszt	2. März 1851
Henry Litolff	6. Febr. 1818
Pompeo Litta	27. Sept. 1781
Alexis Littre	21. Juli 1658
Emile Littré	1. Febr. 1801
